P11.1	P11.2	P11.3	P11.4	P11.5	P13.1	P13.2	P13.3	P13.4	P13.5	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P15.1	P15.2	P15.3	P15.4	P15.5	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P29.1	P29.2	P29.3	P29.5	
k__Viridiplantae|p__Streptophyta|o__Vitales	2.036515707	1.182623546	1.702980215	0.792191674	1.47280292	1.802193889	1.158358803	0.753995853	1.629802095	1.254850161	0.736158608	0.836371435	0.827211741	0.878150264	1.357059035	0.805688125	1.94446751	2.103802221	1.965433588	1.560763094	1.969664348	1.975579586	1.326533456	1.403490047	0.893339366	1.351744812	1.963817152	1.844190493	1.219598896	1.188749895	1.996194859
k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae	2.036515707	1.182623546	1.702980215	0.792191674	1.47280292	1.802193889	1.158358803	0.753995853	1.629802095	1.254850161	0.736158608	0.836371435	0.827211741	0.878150264	1.357059035	0.805688125	1.94446751	2.103802221	1.965433588	1.560763094	1.969664348	1.975579586	1.326533456	1.403490047	0.893339366	1.351744812	1.963817152	1.844190493	1.219598896	1.188749895	1.996194859
k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae|g__Vitis	2.036515707	1.182623546	1.702980215	0.792191674	1.47280292	1.802193889	1.158358803	0.753995853	1.629802095	1.254850161	0.736158608	0.836371435	0.827211741	0.878150264	1.357059035	0.805688125	1.94446751	2.103802221	1.965433588	1.560763094	1.969664348	1.975579586	1.326533456	1.403490047	0.893339366	1.351744812	1.963817152	1.844190493	1.219598896	1.188749895	1.996194859
k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis_vinifera	2.036515707	1.182623546	1.702980215	0.792191674	1.47280292	1.802193889	1.158358803	0.753995853	1.629802095	1.254850161	0.736158608	0.836371435	0.827211741	0.878150264	1.357059035	0.805688125	1.94446751	2.103802221	1.965433588	1.560763094	1.969664348	1.975579586	1.326533456	1.403490047	0.893339366	1.351744812	1.963817152	1.844190493	1.219598896	1.188749895	1.996194859
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Zea	1.47130092	3.962002348	0.676183321	1.184765668	1.819094537	1.674925898	1.829144743	1.937639343	1.674313497	1.092490162	1.714288502	1.07227107	1.647298812	1.805208314	1.564363926	1.793449815	1.492106242	1.870157361	1.553341283	1.625743804	0.989657963	1.463229719	1.095226152	1.352177893	1.049095569	1.220980816	1.240850711	1.720014999	1.496222281	1.436553818	1.791273745
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae|g__Zea|s__Zea_mays	1.47130092	3.962002348	0.676183321	1.184765668	1.819094537	1.674925898	1.829144743	1.937639343	1.674313497	1.092490162	1.714288502	1.07227107	1.647298812	1.805208314	1.564363926	1.793449815	1.492106242	1.870157361	1.553341283	1.625743804	0.989657963	1.463229719	1.095226152	1.352177893	1.049095569	1.220980816	1.240850711	1.720014999	1.496222281	1.436553818	1.791273745
k__Viridiplantae|p__Streptophyta|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_hirsutum	0.810250099	2.343900096	1.064362635	1.069391889	2.374692634	1.218937213	1.877774057	0.846295345	1.331918099	2.055642698	0.781528224	1.136607334	0.860960181	1.434750078	1.042586001	1.916272078	1.079457455	0.691448998	0.724588022	0.924033872	1.080234311	0.730617294	0.771953293	1.64219419	2.146805953	1.771085479	0.595912167	0.753659181	2.377151425	2.27373794	0.673795665
k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Camelina	1.558969109	0.866688014	0.914099674	1.499502484	1.066101709	1.653165049	1.655316272	0.547946986	1.521947545	1.472247448	0.567851968	0.986489385	0.55609928	1.233644178	1.108778089	1.344277426	1.679115928	1.474758367	1.480242869	1.215834042	1.546479773	1.607278241	1.631691888	1.370034523	1.157652923	1.131048266	1.435575197	1.298310107	1.110371438	1.662445299	1.350223345
k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Camelina|s__Camelina_sativa	1.558969109	0.866688014	0.914099674	1.499502484	1.066101709	1.653165049	1.655316272	0.547946986	1.521947545	1.472247448	0.567851968	0.986489385	0.55609928	1.233644178	1.108778089	1.344277426	1.679115928	1.474758367	1.480242869	1.215834042	1.546479773	1.607278241	1.631691888	1.370034523	1.157652923	1.131048266	1.435575197	1.298310107	1.110371438	1.662445299	1.350223345
k__Viridiplantae|p__Streptophyta|o__Apiales	1.621589245	0.809051126	0.563486101	0.637676404	1.080565978	1.514027504	1.24793912	1.811540037	1.273710881	1.323646771	1.694774689	0.707698906	1.834415158	1.207365367	1.600733205	1.660764335	1.402572647	1.918084512	1.660704577	1.736088406	0.716444062	1.489964487	1.153749686	1.272541429	1.153472453	1.465452635	1.448349675	1.627805475	1.01342399	1.191005588	1.795033765
