	G12Plate.2	D2Plate.2	H1Plate.2	B11Plate.2	A10Plate.1	H2Plate.2	D4Plate.2	B8Plate.2	B7Plate.2	E9Plate.2	A12Plate.2	E10Plate.2	C3Plate.3	F7Plate.2	G10Plate.2	H3Plate.2	G11Plate.2	B9Plate.2	G6Plate.3	F1Plate.3	G8Plate.3	C1Plate.3	A5Plate.3	G7Plate.3	G5Plate.3	F3Plate.3	E1Plate.3	F8Plate.3	F4Plate.3	F2Plate.3	D5Plate.4	F11Plate.3	E2Plate.3	F9Plate.3	E10Plate.3	B1Plate.3	E4Plate.4	D9Plate.4	A7Plate.4	H6Plate.4	B7Plate.7	B5Plate.4	B7Plate.4	B4Plate.4	H5Plate.4	B3Plate.4	D11Plate.4	E1Plate.4	A8Plate.4	G1Plate.4	A2Plate.7	B2Plate.7	E2Plate.1	A4Plate.7	B3Plate.7	F1Plate.1	F2Plate.1	F12Plate.1	G1Plate.1	B1Plate.2	A7Plate.1	B12Plate.2	F1Plate.2	B10Plate.2	D1Plate.2	C6Plate.4	C7Plate.4	G5Plate.2	E6Plate.3	A8Plate.2	G4Plate.2	C2Plate.2	C1Plate.2	A9Plate.2	D11Plate.2	H7Plate.2	D11Plate.3	D12Plate.4	D8Plate.1	A11Plate.7	B12Plate.7	A5Plate.1	H8Plate.2	F10Plate.2	A9Plate.4	F6Plate.4	C7Plate.7	C4Plate.1	A10Plate.4	D9Plate.1	F2Plate.2	A8Plate.1
Gallic_acid;_Benzyl_methyl_disulfide	-0.51002	-0.086054	-0.075115	-0.15784	0.093806	-0.77247	-0.53032	-0.20641	-0.28983	-1.1153	-0.57434	-0.32662	-0.28373	-0.49874	-0.44988	-0.37881	0.53811	-0.27612	-1.0672	-0.42634	-0.41558	-0.77565	-0.38087	-0.68725	-0.39251	-0.10017	-0.38011	-0.995	0.10936	1.0054	0.76045	-0.33963	-0.099878	-0.39467	0.21645	-0.30852	-0.42248	-0.46251	-0.4772	-0.015458	-0.30938	-0.19189	-0.48031	-0.30904	-0.61447	-0.50077	-0.4764	0.70685	2.8219	-0.11898	-0.45501	-0.65488	-0.92788	-0.40646	-0.25964	-0.34374	-0.46957	-0.35338	-0.30049	-0.20491	0.35762	0.2011	-0.55682	-0.1628	0.15877	-0.21985	-0.54065	-0.30965	-0.11967	0.039645	0.019808	-0.28143	0.35854	-0.10607	0.78385	1.1753	0.53801	-0.080051	0.019463	0.80761	-0.063464	-0.51317	-0.50088	0.6101	-0.6308	-0.45595	-0.56817	-0.34652	-0.036278	-0.45974	-0.46377	0.0048932
S-(3-Methyl-2-butenyl)_2-methylpropanethioate	0.53513	7.6095	3.188	1.0911	1.1165	0.55781	0.93464	1.1161	0.28486	1.6432	2.2194	0.4153	0.14859	1.7641	3.0201	1.2455	0.36357	0.221	1.3032	0.18393	0.14417	0.25576	1.1113	0.61868	0.52903	2.0065	1.7386	0.66841	0.029015	0.96553	-0.16896	11.877	0.82934	0.47278	-0.13207	0.45391	1.1077	0.55881	4.7329	0.87965	1.0562	0.068514	0.047525	0.32767	-0.025163	1.255	0.49718	-0.15247	-0.14443	4.2609	2.0516	0.77229	2.5167	0.68969	-0.40373	1.1958	0.49647	-0.0043824	0.29035	1.0354	0.039738	-0.028692	0.84037	1.6947	0.034833	0.032097	0.78346	0.32094	0.25595	0.23414	-0.27837	0.18168	-0.35946	3.0773	-0.51202	0.36849	1.5449	0.3053	0.35757	0.16718	0.57032	0.80095	0.5762	-0.42953	-0.007512	1.2568	2.4417	0.94994	0.12232	1.1379	2.0499	-0.02278
Acetyl-Glu-semialdehyde	-0.097579	-0.42328	-0.42122	-0.48834	-0.64483	-0.082167	-0.5484	-0.60645	-1.0971	-0.61378	-0.68388	-0.60502	-0.59021	-0.70673	-0.63659	-0.67984	-0.61349	-1.0482	-0.87949	-0.1997	0.40617	0.11626	-0.81553	-0.99072	-0.96417	-0.86073	-0.8088	-0.12102	-0.41677	-1.0615	-0.25194	-0.67734	-0.5388	-0.46312	-0.53299	-0.62754	-0.83636	-0.67091	-0.72272	-0.77971	-0.56887	-0.18964	-0.80414	-0.57433	-0.17311	-0.73252	-0.99837	-0.4848	0.030444	-0.64715	-0.8017	-1.2949	-1.1347	-0.60646	-1.0796	-0.58718	-0.85784	-0.30661	-0.25063	-0.22626	-0.32648	-0.73997	-0.88338	-1.1841	-1.2507	-0.76256	-0.8924	-0.83461	-0.4071	-0.90172	-0.93338	-0.60903	-0.2944	-0.49639	-0.29378	-0.26769	-0.8502	-0.33657	-0.74889	-0.68638	-1.0438	-0.59918	-0.81154	-0.95163	-0.85168	-0.47932	-0.28694	-0.6522	-1.3767	-1.3164	-1.2808	-0.63256
Acetylornithine	1.5924	-0.4721	-0.47117	-0.43963	-0.34579	-0.92093	-0.90121	-0.38573	-0.8779	-1.5155	-0.23383	-0.2504	-0.15209	-0.66436	-0.5745	-0.55317	-0.69302	-0.69016	-1.729	0.13148	1.5904	0.56129	-0.44899	-1.0031	-0.71797	-0.77866	-0.60248	0.63954	-0.72406	-0.025127	0.43354	-0.63361	-0.73992	-0.40068	-0.021281	-0.38912	-0.86195	-0.051599	-0.69755	-0.18241	-0.53253	-0.16802	-0.95841	-0.6565	-0.60368	-0.74812	-0.72774	-0.16938	-0.4341	-0.36516	0.060917	-1.068	-1.0432	-1.0939	-0.83161	-0.66537	-0.79786	-0.45754	-0.38065	-0.76409	-0.47832	-0.87009	-0.89543	-1.3111	-0.56573	-0.49189	-0.58848	-0.61953	-0.52539	-0.61185	-0.71358	-0.56254	0.46414	-0.24348	-0.35559	0.14126	-0.38265	-0.27173	-0.59059	-0.15404	-0.62799	-0.71849	-0.7228	-0.33623	-0.61219	-0.48108	-0.63634	-0.69513	-1.2013	-1.0563	-0.97727	-0.67611
Calystegin_B2	-0.26866	-0.44209	-0.4656	-0.4261	0.038555	-0.43764	-1.0726	-0.27343	-1.0099	-0.89416	-0.91857	-0.27063	-0.58952	-0.63551	-0.67446	-0.55434	-0.41161	-0.93081	-0.87949	-0.15671	0.6455	-0.34663	-0.57542	-0.41779	-0.84113	-0.51913	-0.55091	0.7446	-0.56343	0.30525	0.44222	-0.58948	-0.78703	-0.44022	0.10585	0.06316	-0.7689	0.45133	-0.39157	-0.76902	-0.40458	-0.11959	-0.74299	-0.46032	-0.51505	-0.5861	-0.30582	0.27739	0.53032	-0.43532	-0.49193	-1.0848	-0.025868	-1.097	-1.2719	-0.5371	-0.5387	-0.37621	-0.32333	-0.51352	-0.36276	-0.35988	-0.69108	-0.61345	0.66985	0.055094	-0.15356	-0.19566	-0.49371	-0.77543	-1.0126	-0.24099	0.75962	-0.12308	0.62946	0.93632	-0.12975	-0.18229	-0.61809	0.84769	-0.80606	-0.67186	-0.32915	-0.88927	0.31963	-0.4824	-0.53483	-0.82886	-1.1633	-0.88894	-0.84336	-0.62258
"3,3''-Thiobispropanoic_acid"	-0.22715	0.36312	0.5712	0.29242	-0.28245	0.1341	0.60443	0.45123	0.00060188	1.2351	0.75845	0.020207	-0.08482	0.78585	1.038	0.38605	0.16471	0.30854	0.55199	-0.45237	-0.17417	-0.35919	-0.22334	0.68843	0.057526	0.4787	0.64818	-0.97782	0.38723	-0.43634	-0.22912	-0.021981	-0.028344	0.22894	0.041628	0.12168	0.65082	-0.10464	0.12427	0.30489	0.09528	-0.12936	-0.21391	0.55595	-0.38932	-0.011781	-0.15393	-0.32884	0.53674	-0.016141	1.5343	0.42821	-0.61195	1.0848	-0.06405	0.50163	0.22391	-0.13262	-0.18266	0.12159	0.30794	-0.025095	-0.33665	0.039693	-0.067416	-0.08089	0.26128	-0.11724	0.19016	0.079707	0.05885	-0.027047	-0.32806	-0.27463	0.51268	0.20367	0.059159	-0.13311	-0.12468	0.3994	-0.083055	0.27879	0.98238	0.12245	-0.35322	-0.083209	-0.14035	-0.18559	-0.0046742	0.2378	0.29272	-0.16226
"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene"	-0.147	-0.43988	-0.41852	-0.33191	0.2818	-0.90472	-0.85535	-0.52593	-0.9185	-0.97876	-0.35157	-0.37055	-0.32481	-0.52787	-0.52144	-0.55714	-0.897	-0.14079	-1.4704	-0.23086	1.4864	-0.0074808	-0.23862	-0.93441	-0.85579	-0.7882	-0.52843	-0.39739	-0.25702	0.32271	0.48553	-0.66868	0.24301	-0.39069	-0.58705	-0.8601	-0.76437	-0.38285	-0.8787	-0.77939	-0.065711	-0.16403	-0.1641	-0.63119	-0.23052	-0.70691	-1.0251	-0.44226	-0.55134	0.14091	-0.010418	-0.98546	-0.86701	-0.72557	-0.39883	-0.60272	-0.8324	-0.14469	-0.12861	-0.57482	-0.22387	-0.58438	-0.80582	-1.1639	-0.69544	-0.50148	-0.59897	-0.35027	-0.4195	-0.46933	-0.46503	-0.46206	1.0054	-0.054455	-0.58786	0.8514	0.019286	-0.22468	-0.49002	-0.76249	-0.2737	-0.6118	-0.80442	-0.39133	-0.26297	-0.27238	-0.45659	0.10764	-1.0832	-0.74107	-0.78685	-0.48416
2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	-0.11404	-0.47418	-0.482	-0.42229	-0.62474	-0.86269	-0.94227	-0.56209	-0.85955	-0.81066	-0.82715	0.40525	-0.06196	-0.4564	-0.6078	-0.55377	-0.89004	-0.76496	-0.64422	-0.5088	-0.76594	-1.1027	-0.78744	-0.78644	-0.55968	-0.29517	-0.87176	-0.60637	0.88612	-0.93165	-0.26503	-0.58253	-0.53841	-0.092222	-0.66864	-0.84637	-0.59785	-0.33178	-0.98649	-0.70622	-0.58086	-0.19445	-0.0022363	-0.53473	0.85533	-0.33747	-0.94413	-0.33719	-0.60861	-0.61402	-0.32531	-0.78447	-1.5414	-0.4039	-0.4949	-0.49995	-0.67703	0.33685	0.10798	-0.70385	-0.52987	-0.51975	-0.79081	-0.90046	-0.74321	-0.63155	-0.76602	-0.21603	-0.35073	-0.64359	-0.36963	-0.3113	-0.3298	-0.46545	-0.44047	-0.56956	-0.78942	-0.22276	-0.33319	-0.56136	0.20884	-0.47923	-0.69902	-0.54559	4.2409	0.24537	-0.076377	-0.68746	-0.78811	0.80366	-0.67029	-0.3769
Isoflurophate	-0.10946	-0.48212	-0.48302	-0.45355	-0.4255	-0.7507	-0.38791	-0.58985	-0.91334	1.2351	-0.66334	0.54044	0.15796	-0.60835	-0.64609	-0.60338	-0.64402	-0.8195	0.55199	-0.30476	-0.95823	-0.7743	-0.77959	-0.51445	-0.59456	-0.16847	-0.82246	-0.45039	0.55529	-0.91359	-0.23216	-0.57895	-0.45092	-0.19246	-0.60168	-0.86876	-0.76343	-0.3965	-1.0084	-0.67276	-0.61945	-0.21325	-0.067932	-0.62669	1.5194	-0.30069	-1.0748	-0.44854	-0.76099	-0.63071	-0.30567	-0.8611	-1.3157	-0.74362	-0.5812	-0.46804	-0.67654	1.1543	0.58529	-0.79255	-0.55591	-0.58079	-0.70153	-0.14489	-0.9974	-0.69165	-0.80912	-0.2691	-0.39338	-0.74101	-0.5209	-0.45816	-0.29795	-0.46816	-0.52948	-0.57987	-0.9513	-0.26654	-0.51109	-0.73104	0.025943	-0.55621	-0.69378	-0.73858	2.8208	2.2673	2.1644	-0.75755	-0.94774	0.77301	-0.76884	-0.47687
"(S)-N-(4,5-Dihydro-1-methyl-4-oxo-1H-imidazol-2-yl)alanine"	-0.35609	-0.38765	-0.079511	0.72094	0.1433	0.61894	0.0995	3.2167	0.091574	-0.36162	0.82111	-0.03559	0.075036	1.1327	2.1834	3.502	-0.32567	0.014463	1.3032	-0.54456	1.1684	-0.45603	0.34506	-0.14713	0.43438	2.0235	2.8073	-0.90541	1.8057	0.11582	-0.24176	-0.23883	1.2451	0.13619	1.4344	0.38818	1.7157	0.53551	1.2756	0.079296	0.20839	0.0098058	0.58251	0.41318	0.069345	1.1681	-0.13813	-0.26072	0.87364	0.36847	5.4315	1.2622	-0.86319	0.30456	0.22351	0.31999	0.22682	0.19562	0.077919	0.0089443	0.44468	0.20396	0.296	0.037954	1.1518	1.3026	1.05	0.46075	1.2204	1.2963	0.95979	0.65378	-0.1714	-0.1948	0.5711	0.18459	2.3604	-0.018931	0.30923	0.66199	0.51773	-0.36849	0.7203	0.36637	0.54705	0.53751	0.9457	0.12847	0.4498	0.48544	1.1802	0.46975
Erinapyrone_C	-0.33022	-0.35809	-0.39724	0.11275	-0.44817	-0.34018	-0.66767	-0.3187	-0.3272	2.1174	-0.59617	0.022785	-0.82718	-0.33107	-0.58441	-0.33892	0.044472	-1.0593	1.3032	-0.37061	0.27412	-0.58233	-0.80827	-0.55856	-0.89527	-0.47406	-0.35662	0.16451	-0.17394	-0.69549	-0.29506	-0.28369	-0.79165	-0.28438	-0.3019	-0.50774	-0.3553	-0.16935	-0.061488	-0.72107	-0.1619	-0.15528	-0.49796	-0.35416	-0.2534	-0.15971	0.26218	-0.15923	-0.13295	-0.40732	-0.50771	-0.17509	-0.84229	-0.55551	-0.41933	-0.3541	-0.30975	-0.10249	0.051131	-0.14516	-0.21868	0.35473	-0.048306	-0.74421	0.13574	-0.59798	-0.42059	-0.31616	-0.29663	-0.65012	-0.3941	-0.37084	-0.079508	-0.56095	-0.092641	-0.51914	-0.29802	-0.17325	0.037456	0.27297	-0.093165	-0.31079	-0.25892	-0.35244	-0.50441	-0.23247	-0.21656	0.10902	-0.11013	0.023406	-0.071919	-0.4947
5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic_acid	-0.29709	-0.50702	-0.48127	-0.45195	0.19164	-0.21035	-0.91465	-0.30436	-0.59603	-0.028255	-0.90813	-0.18472	-0.38252	-0.71892	-0.68801	-0.40673	-0.49459	-0.36589	-0.3415	-0.090425	0.17765	-0.19862	-0.59146	-0.53015	-0.73845	-0.55245	-0.81185	-0.22659	-0.46921	-0.56432	-0.10863	-0.17433	-0.2292	-0.41544	0.20319	-0.26235	-0.73767	-0.32879	-0.71827	-0.81136	-0.59063	-0.17675	-0.32287	-0.55713	0.53987	-0.69132	0.53054	-0.25628	-0.50381	-0.45628	-0.36845	-0.43573	-0.4611	-0.54424	-0.1811	-0.55403	-0.542	-0.0090276	-0.13608	-0.3334	-0.44509	-0.6355	-0.7361	-1.158	-0.53801	-0.74081	-0.85859	-0.76208	-0.39711	-0.83648	-0.67031	-0.58463	1.6764	-0.018131	1.2066	-0.18841	-0.033373	-0.18268	-0.26991	1.3012	-0.45389	-0.18731	-0.22587	0.60865	-0.29959	-0.34918	-0.69883	0.41106	-0.67026	-0.63411	-0.34985	-0.12478
1-(Malonylamino)cyclopropanecarboxylic_acid	0.16868	-0.31859	-0.40681	0.22861	0.022347	-0.75633	1.9171	-0.41902	-0.25455	1.6432	-0.014739	-0.41723	-0.11356	-0.63096	-0.38549	-0.34503	-0.092754	-0.22554	0.023437	0.55093	0.14257	0.95337	0.10145	0.15551	-0.49094	-0.47316	-0.15845	0.74809	0.90566	0.36885	-0.10405	0.12624	0.44291	-0.14656	-0.16786	-0.12458	-0.74247	0.048492	0.84457	-0.037497	-0.54545	-0.1782	0.25976	-0.10627	-0.38009	0.22383	0.84398	-0.121	-0.42635	-0.16922	-0.21011	-0.10946	0.07589	0.20498	1.7482	-0.095871	-0.12195	0.10561	0.33039	0.99462	-0.14665	-0.60241	0.02054	-0.1988	0.74518	1.0082	0.072679	0.048217	-0.25974	0.22598	-0.15845	-0.002046	-0.35223	0.22135	-0.39757	-0.0044967	-0.27221	-0.11884	0.05562	-0.32502	0.34274	-0.19517	4.1875	2.3649	-0.39323	-0.14959	-0.20004	-0.56742	-1.0094	-0.088931	-0.20463	0.37119
Indoleacrylic_acid	0.34766	-0.23666	-0.45968	-0.51466	2.6137	-1.1548	2.5244	-0.7824	1.5163	-2.3324	0.46477	-0.57041	0.60826	-0.27063	0.37475	0.18432	-0.68384	0.31753	-2.0029	-0.7909	3.49	2.1953	1.8712	0.94769	0.36428	-0.21656	0.057788	-1.5921	0.043679	2.6212	0.4379	-0.69997	1.7901	0.14102	-0.30329	-0.081657	0.48082	-0.22002	0.74556	0.43497	0.32843	-0.19922	1.6825	-0.094152	-0.36332	-0.15403	-0.11847	-0.3179	-0.28457	4.2253	0.55061	-0.48831	1.3258	1.8424	1.7889	0.17468	-0.82498	-0.29809	-0.22711	0.37102	-0.29397	-0.3317	0.15339	-0.17022	-0.51326	0.23418	-0.25116	0.40117	-0.3257	0.54901	1.3035	0.43436	3.1235	-0.2489	-0.18638	3.3914	-0.13936	0.10921	0.096129	0.20772	1.1183	-0.28631	-0.68848	-0.25841	-0.55996	-0.29582	0.7286	0.24778	-0.24904	0.44003	-0.43313	0.26335
2-Keto-6-acetamidocaproate	0.1312	-0.54573	-0.49484	-0.48061	-0.050969	-0.59484	-0.58828	-0.5817	-0.67206	-0.36162	-0.87072	0.21311	-0.17724	-0.46852	-0.34301	-0.65081	-0.32786	-0.08995	-0.64422	0.086589	0.068159	-0.74652	-0.76524	-0.14627	-0.56179	-0.52326	-0.2477	-0.27064	0.19005	-0.73774	-0.15244	-0.49756	-0.13007	-0.33097	-0.46079	-0.49869	0.26322	-0.32991	-0.14894	-0.53737	0.017537	-0.19738	0.62328	-0.47164	-0.16069	0.77969	-1.0577	-0.34824	0.018631	-0.54384	-0.27999	-0.57849	-0.25699	-0.86441	1.6655	-0.46009	0.29903	-0.24758	-0.065232	0.64284	0.69837	0.40364	3.6187	1.281	0.12243	-0.0090924	-0.69015	3.3652	-0.37739	0.76471	0.53827	-0.24542	-0.11393	1.4596	0.38283	-0.33562	5.343	-0.27147	-0.62428	-0.023809	-0.76188	-0.42023	-0.68346	0.9019	0.68524	-0.42007	-0.33453	-0.26322	-0.10728	-0.2174	-0.57355	-0.33621
"Tetrahydro-2,5-furan-diacetic_acid"	-0.29709	-0.54028	-0.49351	-0.48383	-0.26316	-0.2044	-0.62293	-0.58597	-0.71612	-0.72022	-0.53155	-0.033117	-0.26812	-0.45018	-0.48416	-0.56835	-0.42029	-0.4897	-1.0672	-0.55808	-0.015005	-0.57696	-0.72583	-0.34434	-0.80417	-0.63387	-0.29079	-0.48758	-0.040505	-0.75349	-0.1918	-0.47353	-0.40799	-0.34686	-0.55217	-0.37041	-0.14993	-0.44098	-0.45677	-0.74709	-0.14989	-0.18582	0.66852	-0.52034	-0.45519	0.66241	-0.98849	-0.40249	0.58194	-0.52758	-0.38806	-0.82543	-0.75976	-0.95786	1.3709	-0.49718	0.12573	-0.28269	-0.17226	0.47288	0.67947	0.56326	3.3021	0.70862	0.044513	0.06807	-0.72592	2.1177	-0.39867	0.45474	0.32476	-0.38832	0.063992	1.8353	0.38283	0.40951	3.2343	-0.2903	-0.59909	0.20153	-0.65122	-0.43684	-0.79655	0.37085	0.053345	-0.42259	-0.42234	-0.55129	-0.45541	-0.47977	-0.68809	-0.40922
Gly-Leu	-0.27517	-0.51933	-0.46855	-0.41779	-0.34327	-0.64551	-0.44014	-0.5254	-0.30623	-0.81066	-0.43527	-0.44616	-0.36954	-0.63517	-0.74065	-0.41206	-0.6062	0.23331	-0.3415	-0.054477	-0.64868	0.10837	-0.55859	-0.66858	-0.088957	-0.32237	-0.90386	-1.0674	-0.73938	-0.2654	-0.25405	-0.28326	-1.0139	-0.40697	-0.53604	-0.66867	0.041664	-0.42774	-0.59668	0.13028	-0.47717	-0.21485	-0.63453	-0.29142	-0.70763	-0.59185	-0.45292	0.047306	-0.42785	-0.25044	-0.38594	0.27682	-0.8402	1.0116	1.6433	-0.30343	-0.36329	-0.44205	-0.35238	-0.56699	-0.45461	-0.14351	-0.52369	-0.98515	-0.059121	-0.1276	-0.62821	-0.50547	-0.23565	0.16224	0.71553	-0.2308	-0.20888	-0.31074	-0.60666	-0.38991	-0.82534	-0.15433	-0.088719	-0.51116	-0.24514	-0.24581	-0.47549	-0.39174	-0.62548	-0.50079	-0.8053	-0.18308	0.32045	-0.48709	-0.26752	-0.448
Homoarginine	-0.27517	-0.25111	-0.47912	-0.49269	0.38419	1.0077	-0.62713	-0.26828	-0.29614	0.62484	-0.75193	2.3478	1.199	-0.52489	-0.36787	-0.074051	-0.58163	-0.19893	0.023437	-0.53456	-0.77131	-0.26595	0.16896	0.2198	-0.47069	-0.41691	0.05584	0.16451	-0.60535	-0.22204	0.052614	-0.03877	-0.4228	0.079871	-0.035225	-0.32163	-0.26264	4.3418	-0.52378	-0.56219	-0.4149	0.59942	-0.20075	-0.13679	0.29886	0.70705	-0.086369	-0.35711	-0.70538	-0.35713	-0.53437	-0.85236	-1.083	-0.26354	-0.39839	0.43734	-0.31503	-0.0059735	0.089731	0.26944	0.98205	0.29377	-0.25161	-0.57452	0.080352	0.060486	-0.24813	-0.46783	-0.36699	-0.39818	-0.4558	-0.16014	4.081	0.47606	3.452	0.34498	1.1762	-0.15946	0.18077	4.3601	0.20823	-0.15572	0.64592	-0.051649	0.18144	-0.10825	-0.20331	0.85001	0.35971	0.36033	-0.1294	-0.27657
Kynurenic_acid	-0.1426	0.12571	1.4315	1.5766	-0.18278	-0.41962	3.1007	-0.11588	0.71588	-1.1765	0.89618	-0.60311	-0.62845	3.4792	-0.19729	-0.15021	0.41015	0.92657	-1.2288	-0.22986	2.0573	-0.30299	1.0123	0.47237	1.2981	-0.014478	0.20352	-0.25797	0.54849	-0.49149	-0.24815	0.45961	1.2671	0.4585	-0.22411	0.43292	0.66026	-0.10926	-0.36306	1.5221	-0.082469	-0.21217	0.38859	1.2467	-0.66512	-0.16251	-0.56838	5.9676	0.24431	-0.057768	-0.039721	1.3355	1.9152	1.8424	0.18973	0.69243	0.89839	-0.3879	-0.16137	-0.19686	-0.027798	0.68671	0.091321	1.6521	0.21625	0.11077	0.64977	0.49851	0.13601	0.59841	0.62277	0.83591	-0.31184	0.45664	-0.76611	0.13777	-0.72899	-0.1662	-0.21805	-0.60824	-0.1759	0.26925	-0.33336	-0.67336	-0.27775	-0.40555	-0.46631	-0.3317	-0.39217	-0.35788	0.20958	-0.30271
Acetyl-Glu;_1-Isothiocyanato-6-(methylthio)hexane	-0.32182	-0.47516	-0.42844	-0.37502	-0.55114	-0.11163	-0.61023	-0.20316	-0.42751	-0.028255	-0.58897	0.14159	-0.28647	-0.42002	-0.50207	-0.20456	-0.3582	-0.82591	1.3032	-0.13425	-0.56653	-0.12649	-0.54729	0.3054	0.19403	-0.43172	-0.46857	0.46053	-0.14269	-0.42978	-0.18362	-0.30685	-0.91677	-0.35103	-0.42797	-0.61079	0.27776	0.031169	-0.53083	-0.11187	-0.019708	-0.19092	-0.29611	-0.29415	-0.32404	-0.27433	-0.47168	0.43922	-0.32859	-0.35132	-0.54762	-0.010392	-0.92893	-0.81571	-0.63409	-0.26793	-0.51002	-0.18885	-0.19172	-0.32156	-0.042712	-0.19487	0.13293	-0.47193	-0.17637	-0.24424	-0.76165	-0.37463	-0.1672	-0.61448	-0.77313	-0.40311	-0.33732	-0.44373	-0.27281	-0.51785	0.68372	-0.20441	-0.37143	-0.47797	-0.5511	-0.42457	-0.6399	-0.56491	-0.14844	-0.25291	-0.45618	0.36125	3.2717	2.5229	-0.1294	0.24181
3-Indolepropionic_acid	0.4023	-0.42915	-0.34009	-0.29146	-0.67614	-0.12591	-0.4784	-0.36164	-0.50443	0.62484	-0.52619	-0.22042	-0.14984	-0.57576	-0.56203	-0.49163	-0.17989	-0.66907	1.3032	0.38822	0.54637	0.7455	-0.77134	-0.40763	-0.58779	-0.29486	-0.58656	1.1476	-0.072048	-0.49739	-0.22984	-0.12926	-0.80449	-0.39456	-0.18471	-0.53717	-0.46133	-0.26139	-0.60338	-0.67686	-0.57168	-0.13615	-0.51248	-0.38703	0.054633	-0.65209	0.12711	-0.22858	-0.52928	-0.48224	-0.69939	-0.71354	0.47403	-0.27908	-0.97215	-0.52347	-0.47663	-0.31012	-0.25481	0.080957	-0.16738	-0.67654	-0.47986	-0.19263	-0.50206	-0.51526	-0.39364	-0.45939	-0.38479	-0.78683	-0.9515	-0.43538	0.43843	8.0976	-0.38455	-0.3324	-0.82434	-0.24404	-0.49306	-0.65925	-0.71094	-0.44323	-0.62386	-0.42058	-0.59455	-0.3824	-0.63526	-0.35663	-0.095606	-0.017941	-0.27556	-0.22753
N-Methylcalystegine_B2	-0.37604	-0.3447	0.0091446	-0.23407	-0.54214	0.25832	-0.88971	-0.20482	-0.58984	1.6432	-0.50522	-0.22181	-0.2737	-0.24586	-0.54688	-0.50865	-0.20332	-0.54455	1.3032	-0.2034	-0.43648	-0.027056	-0.73031	-0.021833	-0.79468	-0.0012911	-0.32305	0.61824	0.089137	-0.38904	-0.22908	-0.21735	-0.28225	-0.34365	-0.088708	-0.15637	-0.30892	-0.39345	-0.54386	-0.74778	-0.4582	-0.11011	-0.80555	-0.30492	0.30597	-0.39814	0.21067	-0.29441	-0.56164	-0.47267	-0.56756	-0.67504	0.30237	0.096779	-0.81833	-0.37205	-0.29709	-0.29991	-0.31103	0.38313	0.25663	-0.38101	-0.42885	0.1683	0.23445	0.66914	-0.03658	0.16475	-0.30987	-0.62463	-0.88722	-0.39998	0.11586	11.264	-0.31369	-0.48817	-0.20782	-0.16023	-0.48208	-0.57402	-0.58011	-0.35021	-0.52495	0.1582	-0.40221	-0.44208	-0.68347	-0.25293	2.3317	1.5495	0.039539	-0.093931
Homocitrulline	-0.36573	0.21768	0.24287	-0.24657	-0.37999	-0.54125	0.46838	-0.4567	-0.22947	-0.89416	0.2957	1.1884	0.90154	0.95166	0.20773	-0.13958	-0.36935	-0.050469	-1.4704	-0.27865	-0.097346	-0.43594	0.30117	-0.37786	-0.33692	-0.025525	0.014711	-0.67539	-0.023932	-0.56358	-0.1844	0.098013	0.1191	-0.33622	-0.30092	-0.28672	0.10877	-0.2244	0.30995	0.10899	-0.3637	1.2284	-0.29966	1.3188	-0.23844	0.1302	-0.28763	-0.17699	-0.056371	-0.096953	-0.39998	0.3353	0.20865	0.46994	-0.60439	-0.21568	0.33804	-0.32184	-0.18009	-0.48847	-0.41327	-0.092123	-0.16085	-0.13218	-0.71578	-0.56448	0.56962	-0.15827	0.038176	-0.052486	-0.39338	0.08381	-0.29897	-0.19953	-0.47166	-0.14428	-0.90215	-0.16628	-0.34785	-0.48129	-0.61213	-0.34084	-0.5259	-0.81604	-0.39593	-0.1606	-0.13159	-0.56035	-0.84102	-0.85389	-0.53112	-0.36786
7-Methoxy-6-methyl-2H-1-benzopyran-2-one	-0.45449	0.13929	-0.40902	-0.40115	-0.63808	0.78757	-0.20434	-0.26573	0.15029	1.6432	0.069738	1.8802	1.2813	-0.56522	-0.58172	-0.50548	-0.06287	-0.58551	0.55199	-0.035418	0.48758	-0.05544	-0.66274	0.21124	-1.2114	-0.51787	-0.59641	-0.46918	-0.50577	0.36117	-0.1212	1.0538	-0.91504	-0.51656	-0.071428	-0.64757	-0.7977	-0.28787	-0.57173	-0.075227	-0.090819	2.9976	-0.64739	-0.36873	0.25121	-0.75071	-0.38214	-0.15649	-0.21674	-0.29331	-0.73223	-0.27996	-0.1454	-0.71535	-1.1014	-0.5703	-0.48816	-0.40665	-0.31734	-0.43642	-0.179	-0.88265	-0.81822	-0.65582	-0.46031	-0.256	-0.58327	-0.41092	-0.488	-0.89676	-0.86436	-0.57703	-0.31253	4.3066	-0.074012	-0.34742	-0.54464	-0.11669	-0.47898	-0.59781	-0.74119	-0.4684	-0.37315	-0.073192	-0.56243	-0.48806	-0.58598	-0.5251	-0.68337	-0.44854	-0.21886	8.7041
