	E11Plate.2	E7Plate.2	E12Plate.2	B1Plate.1	A7Plate.2	B3Plate.1	E2Plate.2	A11Plate.3	B5Plate.1	B6Plate.1	B7Plate.1	A1Plate.1	C2Plate.3	B8Plate.1	A12Plate.3	A3Plate.3	F1Plate.4	A5Plate.4	C2Plate.1	A3Plate.7	F2Plate.4	C5Plate.4	C9Plate.4	C6Plate.1	H8Plate.4	F5Plate.4	D4Plate.7	E3Plate.4	D2Plate.7	A4Plate.4	D3Plate.1	A10Plate.7	A9Plate.7	D3Plate.7	D12Plate.1	C6Plate.7	E1Plate.1	C5Plate.7	C3Plate.7	E7Plate.1	E8Plate.1	E12Plate.1	G2Plate.1	D3Plate.2	E8Plate.2	F4Plate.2	G3Plate.2	A5Plate.2	A6Plate.2	B4Plate.1	C7Plate.3	B11Plate.3	B10Plate.3	C6Plate.3	D9Plate.3	G9Plate.3	E9Plate.3	G10Plate.3	D10Plate.3	A2Plate.4	C7Plate.1	A1Plate.4	A3Plate.4	E11Plate.1	H11Plate.2	F3Plate.2	G12Plate.4	A4Plate.1	C5Plate.2	B6Plate.2	H12Plate.2	G2Plate.2	F11Plate.2	B2Plate.1	G7Plate.2	C11Plate.2	C12Plate.3	D5Plate.3	B2Plate.3	A10Plate.3	D4Plate.3	F6Plate.3	F7Plate.3	D10Plate.4	D2Plate.3	D3Plate.3	E3Plate.3	A2Plate.3	D6Plate.4	E7Plate.3	E8Plate.3	D1Plate.3	B12Plate.1	F9Plate.4	C1Plate.1	D7Plate.4	H12Plate.4	E8Plate.4	B12Plate.4	G2Plate.4	C10Plate.7	C3Plate.1	H11Plate.4	B11Plate.4	H4Plate.4	D2Plate.4	F7Plate.4	B9Plate.7	G11Plate.4	D8Plate.4	F8Plate.4	F10Plate.4	C4Plate.7	G6Plate.4	E2Plate.4	H9Plate.4	E9Plate.4	E10Plate.4	C8Plate.1	D3Plate.4	C2Plate.7	C10Plate.1	D2Plate.1	A3Plate.1	B8Plate.7	C9Plate.7	C8Plate.7	A1Plate.7	E3Plate.1	A6Plate.7	E4Plate.1	B5Plate.7	F3Plate.1	F6Plate.1	F7Plate.1	A6Plate.1	F10Plate.1	F11Plate.1	G6Plate.2	F12Plate.2	C6Plate.2	A9Plate.1
"5-(4-Acetoxy-1-butynyl)-2,2''-bithiophene"	-0.68244	-0.5437	-0.53579	-0.56777	2.465	-0.26031	-0.32622	-0.53667	-0.38307	-0.58128	-0.59409	0.96854	-0.67827	-0.6504	-0.56379	-0.42951	1.2801	-0.59715	-0.029265	-0.17829	0.7191	-0.22495	-0.68131	-0.33946	0.7191	0.8311	0.006085	-0.49343	-0.68449	-0.55652	-0.38307	-0.41943	-0.29532	-0.39457	-0.66994	-0.48574	-0.70379	-0.25833	1.3496	-0.65223	-0.67375	-0.54701	-0.64335	-0.64762	-0.53521	-0.40358	-0.58128	-0.20233	-0.31354	0.51566	-0.56833	1.5116	-0.64501	3.6485	-0.33035	-0.57647	-0.67793	-0.54265	-0.15898	1.2801	-0.020878	-0.70776	-0.56379	-0.47644	0.19206	-0.29984	-0.49693	-0.42879	-0.6142	1.4691	0.55572	-0.58821	-0.64683	-0.048572	-0.35909	2.3897	-0.4111	-0.056293	2.1065	-0.052555	-0.57524	-0.5143	-0.56601	-0.30297	-0.50268	1.4245	-0.23719	-0.62186	3.4217	-0.28546	-0.42188	1.7518	-0.57541	-0.43511	-0.56872	-0.15031	-0.17829	-0.52254	0.23913	0.75703	-0.085847	-0.27414	0.7191	-0.048572	-0.15031	-0.6665	0.060379	0.0012872	1.0942	-0.4903	2.3158	1.6047	-0.66507	-0.39365	-0.62801	-0.64506	-0.64141	-0.6828	-0.57782	-0.53113	-0.67458	-0.03727	2.3158	-0.25833	-0.19776	-0.62357	-0.41621	-0.38591	1.2144	-0.056293	0.50326	1.7518	-0.66532	-0.32897	-0.68542	-0.69914	1.7026	1.5563	0.19206	-0.56379	-0.33687	-0.12904
Gravolenic_acid	-1.0212	-0.3441	-0.64396	-0.038696	1.2333	-0.16599	0.00058635	-0.7206	0.1012	-1.073	-0.84313	-0.20466	0.59252	-0.89188	3.4459	-0.56254	-0.96518	-1.0372	-0.5812	-0.30346	-0.0087442	-0.076158	0.37639	0.39575	-0.25269	-0.32783	0.46761	1.2015	2.0028	0.29012	-0.80496	-0.42546	0.28032	-0.15664	-0.75258	-0.095142	-0.77772	-0.41302	-0.02535	-0.776	-0.78656	-0.86754	-0.24177	-0.27699	-0.45044	-0.36316	-0.36879	-0.61963	-0.81857	-0.10565	-0.72989	-0.82615	0.63496	-0.23437	-0.26168	-0.40638	1.9169	-0.49334	0.23012	-0.40497	-0.026724	-0.53596	-0.7557	-0.61458	-0.078952	-0.15302	-0.44912	0.01803	-1.0137	1.1773	-0.51948	-0.92516	-0.74934	1.4455	-0.46585	0.81057	0.55226	-0.5304	0.48553	0.57173	1.5565	-0.019413	-0.56202	-0.88993	0.48834	-0.42472	-0.68715	-0.3373	0.26838	4.6743	0.20395	-0.14104	-0.42178	-0.85333	-0.64312	-0.10441	-0.43824	-1.0023	-0.096618	-0.15664	-0.24468	3.201	-0.08184	-0.034423	0.32186	0.29975	0.52895	1.7551	-1.0422	0.32186	0.50346	0.74718	0.82315	2.3605	-0.97395	-0.39892	-0.35163	2.0138	0.97942	-0.85355	-0.82466	-0.073239	-0.1262	-0.42031	0.34971	-0.96592	0.28274	-0.0087442	-0.26168	-0.13859	-0.070477	-0.19359	2.7935	2.0028	3.4703	0.47669	0.12371	0.072392	-0.29511	0.37639	-0.14597	-0.088515
"6-(3-ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	-0.83472	-0.46242	-0.56829	0.061857	4.2463	-0.18088	-0.12079	-0.41969	0.27216	-0.73271	-0.74585	-0.031141	0.24432	-0.97679	3.2429	-0.6826	-0.68859	-0.87489	-0.45519	-0.23951	0.13339	-0.19098	0.26991	0.61369	-0.26495	-0.10523	0.34737	0.72267	1.0801	-0.12423	-0.63569	-0.37281	0.22194	-0.16268	-0.80702	-0.19303	-0.8377	-0.57343	-0.27746	-0.77711	-0.7611	-0.86485	-0.13127	-0.53442	-0.34832	-0.090503	-0.19987	-0.11727	-0.34255	-0.38966	-0.60811	-0.6517	-0.84343	0.57376	-0.33743	-0.44188	2.1205	-0.49105	0.28611	-0.39775	-0.16495	-0.81303	-0.81097	-0.70866	-0.31987	-0.51312	-0.45109	0.083847	-0.73934	1.32	-0.38186	-0.67263	-0.52682	0.89083	-0.68386	0.90146	0.31353	-0.54916	0.44719	0.42951	1.1242	-0.29688	-0.58789	-0.72416	0.43564	-0.25195	-0.37281	-0.23125	5.2078	6.2568	0.27903	-0.23582	-0.40821	-0.77645	-0.69836	-0.035338	-0.45268	-0.86983	-0.2954	-0.30552	-0.14856	2.2947	0.089008	0.065075	-0.24925	-0.046593	0.18516	1.1824	-0.81661	0.02618	0.15061	0.27435	0.64075	1.5328	-0.14401	-0.60617	-0.58652	1.5425	0.53177	-0.82605	-0.87551	0.10317	-0.090503	-0.16053	0.14079	-0.94007	0.19131	0.051382	-0.26067	-0.53442	0.10135	-0.40447	1.1119	0.97235	1.3606	-0.031141	0.0057758	-0.043795	-0.19891	0.65651	-0.52596	-0.033925
Olomoucine	-0.96027	-1.0215	-1.3591	-0.095033	1.7346	-0.54322	-0.063397	-0.72319	-0.76609	-1.2852	0.0018868	-0.086053	0.79592	-0.096684	1.5933	-0.63378	-1.3848	-1.0053	0.087638	-0.15225	1.0242	0.18002	0.89781	0.55507	-0.18636	-0.19075	0.36381	-0.035099	0.69301	0.4045	-1.2961	-0.11961	0.52354	1.1008	-0.99286	0.39029	-0.83569	-1.0952	0.02353	0.11358	-0.0017451	-0.23322	-0.39167	0.42552	0.38809	-0.70781	-1.2298	-0.36577	-1.5718	-0.36059	-1.0099	-0.62755	-0.44196	-0.38307	-0.13888	-0.14486	2.2317	-0.21767	1.0387	-1.0092	0.81122	-0.016287	-1.3219	-1.2058	0.42742	-1.2955	-0.82331	-0.34423	-0.83828	0.81122	-0.35301	-1.2198	-1.1737	2.384	0.46712	0.806	0.87096	1.3523	2.8364	1.8841	1.3879	-0.87026	0.32175	-1.3869	0.17119	-0.48148	-0.97131	-0.69216	2.6776	2.4361	0.63631	-0.25254	0.32797	-0.12994	-0.33645	0.806	-0.99286	-1.4541	-0.36181	-0.24689	-0.37075	1.4831	0.53287	-0.07723	0.97272	1.115	0.52354	0.54187	-1.3601	0.02353	0.98684	1.3879	0.84236	1.4717	-1.1801	0.37576	-0.060256	1.461	0.76776	-0.95949	-1.5937	-0.46175	-0.10127	-0.89058	0.31006	0.58066	1.3458	1.1987	0.76527	-0.88379	0.87096	-1.0802	1.8201	0.42552	1.5933	0.53943	2.5013	1.7549	-0.027147	0.29693	-1.0122	-0.17075
Dimethyl_fukiic_acid	-1.2625	-0.65387	-0.67296	0.15812	1.2469	0.2741	-0.062944	-0.52684	0.64967	-0.19492	-0.56394	0.48398	0.027052	-1.5406	1.0651	-1.0629	-1.4511	-1.4587	-0.75025	0.30565	-0.005295	-0.14706	0.981	1.0261	-0.40493	0.38105	0.73673	0.5621	0.56544	0.00031409	0.14974	-0.3312	0.69962	-0.12357	-0.67296	-0.27907	-0.79361	0.64649	1.306	-0.31413	-0.24892	-0.39437	-0.54158	-0.50353	0.93661	-0.23223	-0.72802	-0.54489	-1.0674	-0.46915	-0.83386	-1.2786	-0.98242	0.19516	-0.60858	-0.92442	0.81079	-0.011001	0.43454	-0.26559	-0.25622	-1.2634	-0.86873	-1.0789	-0.43563	-0.64716	-0.69567	0.22492	-1.3744	1.3315	-0.8242	-1.2353	-1.1157	1.1684	-0.35579	1.2866	1.2469	-0.075421	0.73673	0.86187	0.68285	-0.02782	-0.56284	-0.95224	-0.086057	-0.17337	-0.11459	-0.86038	0.78197	3.4436	0.13648	0.28139	-0.38258	-1.2866	-0.41775	0.22721	-0.376	-1.1845	0.15605	0.10706	0.63704	2.4426	0.24581	0.24581	0.057263	-0.63627	0.4157	1.242	-1.1147	0.063339	0.5069	0.8469	0.94829	1.1594	-1.0055	-0.74036	-0.40359	1.1684	0.61498	-0.95088	-1.0258	1.2726	-0.12683	-0.76422	1.0011	-1.3936	0.52965	0.73339	-0.42152	3.065	0.0061335	-1.0529	1.1223	0.94439	2.2676	0.059162	0.90407	1.0743	-0.6044	0.78197	-0.86568	0.67621
Ascorbigen	-1.0127	-0.86627	-1.2312	-0.025395	0.60407	0.09275	-0.54678	-0.81064	0.49482	-1.2639	-0.19099	-0.080145	1.404	-0.25287	1.9565	-0.70308	-1.0995	-1.1802	-1.0924	0.030032	0.066257	-0.078446	0.044536	0.62911	-0.43256	0.37763	0.51477	0.65617	1.2473	1.1849	-0.42903	-1.226	0.28509	-0.20168	-1.3601	-0.71203	-1.2261	-0.023626	1.3932	-0.49886	-0.67576	-1.2402	-0.12442	-0.20928	-0.17912	-0.57092	-0.94795	-0.49049	-0.6806	-0.2211	-1.049	-1.4108	-0.26313	-0.30175	-0.63814	-1.0196	1.2597	0.29838	-0.053172	-0.20168	-0.16865	-0.45987	-0.32345	-0.65265	-0.20168	-0.64086	-0.25287	0.32568	-1.0784	1.0227	-0.43801	-1.2721	-1.2765	1.2352	0.34487	0.6405	1.8301	-0.53461	1.0246	-0.19256	0.84728	-0.029979	0.63714	-1.0268	0.060249	-0.5161	-0.77144	-0.88225	0.052332	2.2671	0.23896	-0.45159	-0.23532	-0.92512	-0.41509	0.075404	-0.31809	-1.2002	-0.027217	-0.21507	0.087576	1.942	0.29335	0.23172	0.11666	-0.24779	1.0443	2.0459	-0.57813	0.03974	1.0464	1.2772	1.1283	1.6613	-1.1203	-0.5044	-0.40938	1.404	0.22829	-0.48635	0.0089061	0.39456	-0.34866	-0.6046	0.17573	-1.1209	0.24608	-0.33062	0.28627	0.12378	0.41581	7.4803	1.0661	0.89524	1.6613	0.02339	0.91244	1.0129	-0.46946	0.17573	-1.1685	0.23172
Mono-trans-p-coumaroylmesotartaric_acid	-1.8188	-0.74729	-0.96359	0.48245	1.4809	0.38631	-0.066238	-1.329	0.81098	-1.4075	-0.47123	-0.34203	-0.018763	-0.35629	1.6478	-1.0775	-1.8407	-1.5673	-0.9997	0.7512	0.48437	-0.021556	1.2036	0.89022	-0.41527	1.0655	0.99271	1.3164	1.0504	0.34106	4.9681	0.36972	1.0025	-0.20386	-1.4581	0.63323	-1.4102	-0.43421	0.83547	-0.63829	-0.64318	-1.5128	0.21896	0.017722	0.14404	-0.10992	-0.27935	-0.21672	-0.22534	-0.47339	-1.3875	-1.4471	-0.93587	0.52284	-0.32376	-0.084549	2.7924	-0.023036	0.24733	-0.42198	-0.091564	-1.1052	-0.63002	-1.1253	-1.1809	-0.1987	-0.58903	0.15547	-1.6984	1.1927	-0.72951	-1.5917	-1.2936	1.0558	-0.83999	1.1875	1.7332	-0.098779	0.9688	0.85569	0.76866	-0.29411	0.0712	-0.77902	0.57618	-0.35873	-0.51001	0.033815	0.3846	2.7974	0.13289	0.83547	-1.0384	-1.1692	0.15059	0.60016	-0.3706	-1.5037	0.41736	0.22543	0.70306	2.7331	0.83781	0.22371	-0.19108	-0.18843	0.7931	2.3514	-1.5631	-0.0013961	0.57618	1.2331	0.9306	1.677	-1.8811	-0.56547	-0.51212	1.4415	0.3163	-1.2148	-0.83825	0.67715	-0.62015	-0.94675	0.61049	-0.47437	0.83547	0.27328	-0.10025	0.52284	0.35551	-0.50366	1.4209	1.1165	1.5264	1.0025	0.3846	0.28521	-1.3031	0.24391	-1.0725	0.26298
"6-[2-carboxy-2-(hydroxymethyl)-2-methylethoxy]-3,4,5-trihydroxyoxane-2-carb..."	-1.5952	-0.9877	-1.2168	-0.035861	1.4444	-0.7112	-0.68608	-1.4023	-0.32456	-2.0106	0.95493	0.56318	0.23734	-0.23786	1.1002	-0.7379	-1.4971	-1.1618	-1.2536	0.40686	0.26814	-0.030374	0.67706	0.76246	-0.4362	1.7913	-0.074127	0.56858	0.62268	0.17885	-0.10069	-1.1082	-0.151	-0.053788	-1.7007	0.10355	-1.8368	0.84197	1.3655	-0.55351	-0.4473	-1.3725	1.1283	0.54688	2.0361	0.013534	-0.68062	-0.31715	-0.095414	-0.10926	-1.3485	-1.9641	0.36082	0.23942	-0.55086	-0.24405	1.0968	-0.086387	0.18957	-0.028487	-0.37742	-0.99127	0.050611	-0.89776	-1.1425	0.060338	-0.4362	-0.23169	-1.5988	1.5264	-0.28002	-1.7878	-1.5315	-0.35116	-0.23169	0.63392	1.4068	-0.52169	0.66527	-0.4834	0.21757	0.67706	0.50454	-1.141	2.2645	-0.40482	-1.0753	0.027099	2.4734	1.8058	-0.26923	0.1517	-1.2203	-1.1494	-0.74571	0.019508	-0.23169	-1.2673	0.21542	-0.061157	0.26345	0.79594	0.23942	0.33647	0.5199	-0.35257	0.18531	0.90877	-1.001	0.65121	1.0865	1.7324	0.79594	1.5921	-1.6405	0.39718	0.1517	1.0301	0.1118	-0.5113	0.65396	-0.19971	0.025036	-0.62623	-0.079555	-1.8683	0.79594	-0.47123	-0.68277	2.7308	0.081763	-0.34847	1.2203	0.18333	0.16839	1.0902	-0.088217	-0.33675	-0.92398	0.87671	-0.28767	0.80832
Rhazidigenine_Nb-oxide	-0.76235	4.1484	-0.0694	0.56598	-0.63635	0.043017	-0.33014	-0.83119	-0.53177	2.1733	-0.6348	-0.50813	-0.33687	0.50866	-0.34951	-0.38611	-0.70025	-0.12319	4.425	-0.627	-0.49672	-0.21856	-0.34452	3.8652	1.2394	-0.63974	-0.14651	-0.0090624	-0.22659	-0.10365	1.3407	0.5751	-0.10586	2.1175	0.16138	0.054761	3.05	-0.94421	-0.90194	0.16895	0.18046	-0.021321	-0.54995	-0.61246	-0.44241	-0.43915	-0.36225	-0.55795	0.87464	-0.63876	-0.86485	0.097588	-0.18478	-0.2763	-0.57566	-0.39283	-0.58143	-0.041437	-0.56934	-0.77077	-0.5845	2.851	-0.45216	0.46615	-0.267	0.44367	-0.5323	-0.49991	-0.78686	-0.60186	-0.59783	-0.44101	-0.47734	0.02716	-0.12615	-0.58327	-0.64951	-0.60018	-0.44264	-0.51927	-0.45435	0.011018	0.31818	2.0827	-0.35255	0.55607	0.92207	0.1218	-0.49651	2.2839	-0.44399	-0.14068	-0.42528	0.77008	0.88216	-0.20474	-0.70463	0.04249	-0.60743	-0.53177	-0.76887	-0.41595	-0.65821	-0.45698	-0.54401	0.20814	-0.40204	-0.55947	-0.92382	-0.28822	-0.6511	-0.54438	-0.37963	-0.38742	-0.80954	-0.11432	-0.33659	1.1602	-0.075459	-0.78374	-0.52442	-0.50032	-0.61438	-0.43982	0.25964	-0.90534	1.3108	-0.036001	-0.63583	-0.92025	-0.25089	-0.91242	-0.34425	-0.45282	-0.54367	-0.21629	-0.3409	-0.37937	-0.36253	-0.47547	-0.3127	0.25127
Mahaleboside	-0.74741	-0.76641	-0.68852	0.81348	1.0746	0.24605	0.14576	-0.32921	0.3531	-1.1389	0.20716	-0.53344	0.44212	-1.3432	2.9725	-0.71203	-1.3031	-1.0188	-0.98958	-0.16133	-0.30848	-0.002182	2.4403	1.0062	-0.5615	0.6709	0.4913	0.72142	0.30275	-0.18286	-0.85136	-0.51979	0.5616	-0.2003	-1.207	0.0051528	-1.2595	-0.23565	1.3649	-0.60732	-0.66784	-1.0075	0.17351	-0.40532	0.75291	0.11384	-0.80385	0.29909	-0.45255	0.091423	-0.52316	-1.0597	-0.69887	-0.054252	-0.39826	-0.42288	1.3128	-0.40532	0.87726	-0.3872	-0.083015	-1.2294	-0.99821	-1.059	-0.91708	0.062174	-0.16341	0.24917	-0.73752	1.6629	-0.46018	-1.2871	-1.1945	1.0885	-0.85705	1.7855	1.7049	-0.15746	0.76348	0.34577	1.0468	0.038127	-0.36289	-0.84231	1.2013	-0.27049	-0.58225	-0.10937	0.051497	3.8261	1.3384	-0.50125	-0.34318	-0.92174	-0.77506	0.064744	-0.36869	-0.90799	-0.26168	-0.26876	-0.069968	2.5349	-0.22844	0.58926	-0.15746	-0.23217	0.56632	1.6535	-0.86767	0.57135	0.81348	0.61275	0.45776	1.9386	-0.71129	-0.92425	-0.67391	2.4716	0.2918	-0.14544	-1.2813	0.086182	-0.43089	-0.36869	0.43788	-1.1325	0.096955	0.34236	-0.48963	-0.23399	0.28834	-0.43342	2.1765	0.72643	1.0533	1.1628	0.29909	0.3531	-0.82204	0.38656	0.24605	0.14293
Glucocaffeic_acid	-0.92383	-0.94294	-0.60377	-0.43445	0.85876	0.029067	0.011428	-0.43315	0.38801	0.29773	0.15979	-0.027692	-0.42078	-0.96213	1.1548	-0.71725	-1.1342	0.014071	-0.83459	0.23582	-0.050831	-0.45011	1.0135	0.49192	-0.40381	2.1036	0.0013092	3.0748	-0.21736	-0.34133	1.1253	-0.50888	-0.015951	0.016562	-1.1651	-0.51216	-1.1335	-0.11246	2.299	-0.45625	-0.3986	-0.7785	-0.27617	-0.68086	0.063821	0.055698	0.69105	-0.02304	0.44483	-0.64774	-0.5928	-0.94381	0.5451	0.26295	-0.35706	-0.42949	-0.12689	-0.70029	-0.080455	-0.1666	-0.6359	-1.0186	-0.97436	-0.85756	-0.67606	-0.2135	-0.56857	-0.22495	-0.83936	1.3195	-0.29273	-0.90159	-0.83254	0.024018	-0.28789	1.0203	2.1313	-0.61685	3.403	-0.16107	0.20331	-0.12496	-0.46789	-0.51966	0.38398	0.67385	2.1609	-0.60555	-0.15723	0.98493	-0.071556	-0.4065	-0.56297	-0.79858	-0.83625	0.44927	-0.093702	1.1398	-0.10214	-0.18579	0.25946	0.24901	-0.030014	0.61169	-0.529	-0.7331	-0.25757	0.3491	-0.68381	-0.027692	1.7078	2.0619	0.17215	0.26295	-0.74603	-0.6731	-0.58755	0.49629	-0.15723	-0.68921	-1.129	-0.027692	-0.30044	-0.34133	0.19414	-0.94924	0.71193	0.082439	-0.75653	0.22292	2.9596	-0.32774	0.10801	0.11638	-0.11688	0.15344	1.8169	1.6843	-0.42709	0.31272	-0.25241	0.12201
Dopexamine	-0.00060169	-0.2834	-0.71425	-0.52481	-0.27501	-0.068246	0.50761	1.2493	-0.10756	-0.4471	-0.62061	-0.52664	-0.26352	-0.2187	0.31787	-0.61097	-0.68808	0.54163	-0.1992	-0.083802	-0.054093	-0.15222	0.3967	-0.053626	-0.31379	0.42947	0.096171	-0.055485	0.78429	-0.14964	-0.15698	-0.36145	-0.3585	0.58262	-0.51322	-0.31486	-0.65902	-0.50351	-0.38465	-0.36736	-0.36382	-0.57163	-0.053626	-0.23258	-0.45828	-0.3644	-0.76225	-0.40968	3.1303	0.20188	1.5216	-0.74674	-0.73381	-0.33614	-0.53527	-0.65838	0.17451	0.08659	-0.26605	-0.2841	-0.41778	0.69739	-0.61732	-0.49469	-0.56788	-0.65455	-0.18002	0.17315	-0.14905	-0.1822	-0.67723	-0.68561	-0.63009	0.0056697	0.12007	-0.23077	8.5398	-0.21553	0.15724	-0.36924	-0.071874	-0.30958	0.13566	1.0236	-0.182	-0.41778	0.061845	-0.55692	-0.065082	-0.39607	-0.57176	-0.62093	-0.10188	-0.4795	3.0599	-0.3552	-0.21243	4.2139	-0.54626	-0.35232	-0.35778	0.19414	0.045124	-0.022721	0.031148	-0.19621	-0.12712	0.41283	-0.39191	-0.24623	0.11608	0.15067	0.29768	0.11247	-0.32524	0.56492	0.80334	-0.040072	-0.053626	-0.12114	-0.57768	-0.23275	-0.3125	-0.24051	-0.16174	0.4768	-0.30217	-0.38676	-0.30562	-0.31948	-0.19747	1.7953	-0.37503	-0.27256	-0.12256	0.7792	0.11156	0.23349	-0.516	5.4946	-0.78039	3.6136
3-O-Feruloylquinic_acid	-0.53	-0.54967	0.66273	-0.58814	2.8298	0.41562	0.031368	-0.31603	0.3887	-0.60258	-0.58482	0.97193	-0.41431	-0.63279	-0.48362	-0.59434	-0.61788	-0.63525	-0.35968	0.88972	1.2595	-0.4957	-0.57648	2.4433	-0.48931	2.1429	-0.54069	-0.56436	-0.59596	-0.48702	-0.43904	-0.58392	-0.45794	-0.33733	-0.59596	-0.45127	-0.58073	-0.49873	-0.12934	-0.45956	-0.42719	-0.60771	-0.57098	-0.62619	0.048067	0.065324	-0.5396	-0.20215	-0.60655	-0.58775	-0.41431	-0.63414	-0.27816	0.47779	-0.55448	-0.55236	-0.48601	-0.59815	-0.55367	0.70844	-0.63385	-0.61855	-0.57303	-0.52867	0.14238	-0.28283	-0.52798	-0.20215	-0.51935	1.6969	-0.56506	-0.43527	-0.5138	-0.13977	-0.59535	1.5196	2.8298	-0.55236	3.2958	0.33085	-0.13977	0.57775	-0.56506	-0.63493	-0.26663	0.62051	-0.23133	-0.61358	0.70844	0.18489	-0.57674	1.2595	-0.59084	-0.38673	-0.54921	1.5196	1.1533	-0.57098	0.14238	0.014477	1.9032	-0.4775	1.0582	2.1429	-0.38673	-0.6293	-0.50333	-0.32097	-0.59596	-0.58589	0.97193	2.8298	-0.59368	-0.54433	-0.45956	-0.63671	-0.62451	-0.5629	-0.61267	-0.52301	-0.60566	0.70844	-0.37531	0.014477	-0.40489	-0.61836	-0.46267	-0.44077	-0.58415	-0.61129	1.1533	-0.24926	-0.59319	-0.095154	-0.5396	-0.62098	1.9032	2.4433	0.44643	1.2595	-0.59799	0.41562
5-Hydroxy-6-methoxycoumarin_7-glucoside	-0.69165	-0.49722	-0.53846	0.23475	0.75765	0.1196	-0.50465	0.006972	0.77882	-0.96998	-0.12459	0.63464	-0.5132	-0.24586	0.24889	-0.94536	-1.1747	-1.1773	-0.89992	0.0036504	-0.023324	-0.42842	0.30903	0.30282	-0.57946	1.9217	-0.21033	-0.2294	0.0817	0.949	-0.21933	0.10187	-0.068402	-0.2048	-1.2521	-0.25537	-1.2651	1.445	4.9011	-0.33353	-0.31802	-0.93916	0.16158	-0.54316	0.79225	-0.24674	-0.0042381	-0.53196	-0.15359	0.39534	-0.3789	-0.92636	-1.1784	-0.24058	-0.6931	-0.66057	-0.049296	-0.57771	-0.063135	0.52523	-0.46408	-0.86474	-0.70575	-0.43647	-0.91147	-0.46845	-0.54029	0.025211	-0.68643	1.1298	2.7879	-0.67361	-0.83572	-0.16776	0.39692	0.71997	1.1031	-0.15453	1.4565	-0.0007588	-0.26708	-0.29022	-0.54258	-0.85942	0.25463	0.49877	-0.731	-0.54547	0.3676	0.56321	-0.29497	0.11709	-0.79765	-0.72285	-0.49238	-0.055862	0.5118	-1.1477	0.027506	-0.164	0.24303	0.11199	0.20658	0.18577	-0.28173	-0.73892	0.56145	0.39857	-0.2203	-0.26035	0.9337	1.5337	-0.13748	0.064477	-0.74294	-0.39761	-0.1067	-0.18276	-0.32505	-0.84284	-0.87954	1.988	-0.36178	-0.49238	0.17229	-1.2796	-0.45607	-0.38247	-0.62278	0.15877	0.06214	2.7645	-0.075469	0.10828	0.20242	-0.18086	0.63059	0.65292	-0.70334	0.40032	2.1199	0.28433
Veranisatin_C	-0.62395	-0.43678	-0.50334	1.0879	0.47922	0.067466	-0.24503	-0.49485	0.13449	-0.26582	-0.053549	-0.15492	-0.32727	-0.7362	0.018811	-0.57148	-0.34858	-0.77835	-0.55675	0.17352	-0.30154	-0.38502	0.28538	0.077641	0.59272	0.43413	-0.19909	-0.3339	-0.28281	0.10207	0.70018	-0.13758	-0.0048344	-0.21871	-0.92292	-0.24825	-0.9023	0.76373	2.6679	-0.25973	-0.29	-0.65621	-0.19909	-0.49614	0.47368	0.051705	-0.40278	0.048924	-0.57426	0.94087	-0.60526	-0.77916	-0.4828	0.31331	-0.39024	-0.26053	-0.14541	-0.41663	-0.28931	0.0041214	-0.61664	-0.68081	-0.49657	-0.523	-0.33581	-0.30781	-0.52564	0.32201	-0.66768	0.61822	0.074783	-0.70595	-0.73154	-0.18895	0.81507	0.40348	2.1244	-0.064055	6.277	-0.06849	-0.19485	-0.29714	-0.1931	-0.72181	0.0014006	0.028271	-0.46748	-0.35828	1.1095	0.28758	-0.19229	-0.1931	-0.41926	-0.70528	-0.55433	-0.26354	-0.26354	-0.77406	0.039199	-0.11864	0.23179	0.0080767	-0.06849	-0.18706	-0.21379	-0.65748	0.26717	0.44439	-0.35581	-0.25205	4.4079	5.8097	0.030965	-0.095687	-0.5708	-0.58467	-0.51917	-0.28137	-0.20357	-0.58536	-0.72679	0.29156	0.11979	-0.44329	0.13449	-0.9138	-0.37914	-0.062847	-0.54273	1.6619	0.84422	0.19132	0.0080767	0.016212	-0.075203	-0.2458	1.7255	1.6878	-0.30007	-0.040735	-0.33453	-0.22135
