sample	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	TM7	Tenericutes	Verrucomicrobia	Actinomyces	Rothia	Bifidobacterium	Atopobium	Collinsella	Eggerthella	Bacteroides	Parabacteroides	Prevotella	Rikenellaceae_un	S24-7	Barnesiellaceae_un	Odoribacter	Paraprevotella	Rummeliibacillus	Staphylococcus	Gemella	Enterococcus	Lactobacillus	Pediococcus	Lactococcus	Streptococcus	Turicibacter	Clostridiales_un	Christensenellaceae_un	Clostridiaceae_uc	Clostridiaceae_un	Clostridium	Lachnospiraceae_uc	Lachnospiraceae_un	Blautia	Coprococcus	Dorea	Epulopiscium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	Peptostreptococcus	Ruminococcaceae_uc	Ruminococcaceae_un	Faecalibacterium	Oscillospira	Ruminococcus	Veillonellaceae_uc	Acidaminococcus	Dialister	Phascolarctobacterium	Veillonella	Mogibacterium	Erysipelotrichaceae_un	Coprobacillus	Eubacterium	Fusobacterium	Sutterella	Bilophila	Enterobacteriaceae_uc	Enterobacteriaceae_un	Klebsiella	Haemophilus	Vibrio	Akkermansia
21	0.006248754	0.069334574	0	0.919430965	6.65E-05	0.004919232	0	0	0	0.000132952	0.000132952	0.003589709	0	0.001263046	0	0.048859935	0.001661903	0.012165127	0.004919232	0	0.001329522	6.65E-05	0	0	0.000332381	0	0.000265904	0.000132952	0	0	0.025460347	0.000797713	0.038223759	0	0.000797713	0.004187994	0.000731237	0.150834275	0.316692149	0.019411022	0.003190853	0.000797713	0	6.65E-05	0.015954264	0.130559064	0.003323805	0	0.007644752	0.07212657	0.064681247	0.004919232	0.008375989	0.001395998	0.001595426	6.65E-05	0	0.000332381	6.65E-05	0.000864189	0	0	6.65E-05	0.002060759	6.65E-05	0	0.000398857	0	0.001462474	0	0
22	0.001029377	0.740992953	0	0.242061921	0	0.015915749	0	0	0	0	0	0.000475097	0	0.000158366	0.000237548	0.693799984	0.032069047	0.00055428	0.007047272	0	0.00110856	0.001900388	0	0	0	0	0	0.000158366	0	0	0.002454668	0	0.013065167	0	0	0.000950194	0.000395914	0.02209201	0.0553488	0.011085597	0.006888906	0.00055428	0	0	0.001266925	0.008155832	0.007126455	0	0.009897854	0.06120833	0.014965555	0.003246496	0.001346108	0.000237548	0	0	0	7.92E-05	0	0.001979571	0	0.000871011	0	0.009818671	0.000791828	0.000158366	0.002217119	0	0.002850582	0	0
23	0.008304335	0.781750635	0	0.190159194	0.000201725	0.01953368	0	0	0	0.000151294	0	0.000975003	0	0.007110797	1.68E-05	0.752853565	0.020037991	0.001159917	0.000773278	1.68E-05	0.001546556	0.000134483	0	8.41E-05	0.000134483	1.68E-05	0.000706037	0.000621985	1.68E-05	1.68E-05	0.010792274	5.04E-05	0.013364264	0	0.000353018	0.001479315	0.009447442	0.026156975	0.03483114	0.021836704	0.005665103	0.001899575	1.68E-05	0	0.001025434	0.008405198	0.009565115	0	0.001109486	0.011599173	0.003362079	0.000453881	0.000487501	0.000117673	6.72E-05	0.001395263	1.68E-05	0.000134483	0	0.001210348	0	6.72E-05	0.000201725	0.00465648	1.68E-05	0.001025434	0.012675038	5.04E-05	0.000537933	1.68E-05	0
24	0.01391449	0.848154476	0	0.127320955	6.74E-05	0.010542643	0	0	0	0.000134874	0	0.001303781	0	0.012340961	0.000112395	0.825900283	0.014476465	0.000786764	0.000674369	0	0.002944747	2.25E-05	2.25E-05	0	2.25E-05	0	0.000854201	0.000112395	0	0	0.00595693	0.000112395	0.012116171	0	8.99E-05	0.000561975	0.000831722	0.011599155	0.021377512	0.025918266	0.002944747	0.002764915	2.25E-05	0	0.000314706	0.001123949	0.011284449	0	0.000179832	0.004113654	0.00044958	0.000112395	0.000134874	2.25E-05	0	0.002090545	0	2.25E-05	0	0.001371218	0	2.25E-05	6.74E-05	0.004226049	2.25E-05	0.000359664	0.005462393	4.50E-05	8.99E-05	0	0
25	0.001533586	0.591708414	5.11E-05	0.401594929	0	0.003527247	0	0	0.000204478	0	0	0.000102239	0	0.000306717	0.00102239	0.498824251	0.022901544	0.000408956	0.060985584	0	0.001789183	0.00102239	0	0	5.11E-05	0	5.11E-05	0.006287701	5.11E-05	0	0.003271649	0.000153359	0.009252633	0.000408956	5.11E-05	0.000357837	0.000613434	0.017636234	0.005827625	0.004754115	0.007105613	0.000153359	0	0	0.000817912	0.002044781	0.001277988	0	0.016613843	0.137204785	0.006850015	0.014006748	0.142623454	0.000306717	0.003578366	0.000357837	0.006236581	0.000102239	0.000153359	5.11E-05	0.000255598	0.000102239	0	0.001431346	0.000817912	0	0.001175749	0	0	0	0.000204478
26	0.001506548	0.554467493	5.79E-05	0.429597868	5.79E-05	0.013269208	0	2.90E-05	8.69E-05	0.000115888	0.000115888	0.000231777	0	0.00014486	0.00069533	0.465320431	0.019411288	0.000927106	0.060059103	0	0.002346738	0.00098505	0	5.79E-05	0	0	0.000231777	0.01048789	0	2.90E-05	0.003998146	0.000521497	0.007735543	0.000260749	0.000898134	0.001071967	0.00336076	0.018658014	0.00672152	0.005330861	0.00489628	0.000289721	0	0	0.001158883	0.001912157	0.001390659	0	0.011646773	0.139123885	0.006315911	0.013385097	0.158303396	0.000202804	0.004432727	0.000579441	0.007329934	0.000463553	0.000115888	0.000173832	0	8.69E-05	2.90E-05	0.001767296	0.000927106	0.000115888	0.008981342	5.79E-05	0.000492525	0	8.69E-05
27	0.000408163	0.589795918	0	0.398163265	0	0.010816327	0	0	0.000816327	0.000204082	0	0	0	0	0.000204082	0.571632653	0.000612245	0.000204082	0.017142857	0	0	0	0	0	0.000408163	0.000204082	0.000204082	0.000204082	0	0	0.007755102	0	0.008163265	0.000816327	0	0.000408163	0.000408163	0.024897959	0.147142857	0.003469388	0.019795918	0.000408163	0	0	0.006326531	0.015510204	0.001632653	0	0.006938776	0.063673469	0.01	0.004081633	0.004285714	0.000408163	0.03122449	0.002244898	0	0	0	0	0.000204082	0.000204082	0	0.005918367	0.000816327	0.000204082	0.003673469	0	0	0	0.000816327
42	0.006899817	0.521883244	0	0.465602381	6.76E-05	0.004599878	0	0.000405872	0.000473517	0.000405872	0.000541162	0.00257052	6.76E-05	0.003111682	0.000135291	0.494283975	0.026516945	0.000135291	6.76E-05	0	0	0	0	6.76E-05	0.001420551	0	0.001082324	0.041534195	0	0	0.080700805	0.000135291	0.021578841	0.000811743	0.000202936	0.000338226	6.76E-05	0.044307651	0.06561591	0.025975783	0.0100115	0.001691132	0	0	0.00243523	0.005885138	0.009199756	0	0.005682203	0.068659947	0.020902388	0.002097003	0.010890888	0	0	0.001894068	0	0.000405872	6.76E-05	0.004058716	6.76E-05	0	0	0.003246973	6.76E-05	0	0.000879388	0	0.000135291	0	0.000473517
29	0.004674134	0.018696534	0	0.905899991	0.000176382	0.070023812	0	0	0.000529147	0.000440956	0.000617338	0.001587442	0.000176382	0	0.001675633	0.011817621	0.000176382	0.000176382	0.006526149	0	0	0	0	0	0.001234677	0.000176382	0.000176382	0.003615839	0.000264574	0.000176382	0.135814446	8.82E-05	0.015521651	0	0.000617338	0.009171885	0.002116589	0.065878825	0.049387071	0.010494753	0.001234677	0.000617338	8.82E-05	0	0.025487256	0.191992239	0.020372167	0	0.032630743	0.213246318	0.059352677	0.004056795	0.018696534	0.000793721	0.000176382	0.000793721	0	0.004321369	0	0.001763824	8.82E-05	0.000970103	0.000176382	8.82E-05	0	0.000617338	0.04418379	0	0.022400564	0	0.000529147
30	0.003982411	0.238778727	0	0.663403302	0.000248901	0.092425122	0	0	0.001161537	0.000248901	0.000165934	0.001659338	0.000248901	0	0.001410437	0.169169501	0.000165934	0.000165934	0.069028458	0	0	0	0	0	0.001161537	8.30E-05	0.000663735	0.018584585	0.000580768	0.000165934	0.088691612	0.000248901	0.022069194	8.30E-05	0.000331868	0.004729113	0.000829669	0.079980088	0.062059238	0.01924832	0.006222517	0.001410437	0.000248901	0	0.005226914	0.045382892	0.070936696	0	0.009707127	0.100058077	0.029370281	0.006305484	0.037003236	8.30E-05	0.000165934	0.001161537	0	0.001161537	0	0.00613955	0.000912636	0.004397245	0.000165934	0.00107857	0	0.000580768	0.084045466	8.30E-05	0.005558782	0	0.001161537
